runs,year,Ein,netto_demand,country
h010,2000,553090.7551898028,291679.5320036424,35.0
h010,2001,292580.3293585161,310920.1415539933,35.0
h010,2002,191269.7467842198,311723.90235866513,35.0
h010,2003,451845.1261164946,292217.2128010559,35.0
h010,2004,529058.4294418155,297085.7973720751,35.0
h010,2005,407492.62210938946,302929.60735927237,35.0
h010,2006,414765.36628842156,306426.9624172464,35.0
h010,2007,476747.9698631355,313926.65850653406,35.0
h010,2008,485001.0144596009,303544.3132363761,35.0
h010,2009,402401.3150813636,302440.82426792005,35.0
h011,2000,415566.8703746984,301372.9308012107,35.0
h011,2001,364024.34164082544,305159.3481604612,35.0
h011,2002,497350.0828840263,298570.2138693873,35.0
h011,2003,395015.5554098367,292612.98348336294,35.0
h011,2004,448848.4478926014,299321.4415568926,35.0
h011,2005,505608.0838504921,291144.83198273473,35.0
h011,2006,404838.68296204356,309855.3790506311,35.0
h011,2007,390944.4803876796,291347.5818961965,35.0
h011,2008,422946.2501533067,306703.8858411622,35.0
h011,2009,420982.1387463014,303621.32050712686,35.0
h012,2000,368542.2525222687,311758.23723882774,35.0
h012,2001,330340.23539191176,311967.82341597986,35.0
h012,2002,442562.8470792787,301311.9278268002,35.0
h012,2003,440380.99157299654,296698.11967782653,35.0
h012,2004,510240.8219602626,292318.55555646715,35.0
h012,2005,497339.6368588486,296723.53123890614,35.0
h012,2006,423012.81889580697,292923.35788891715,35.0
h012,2007,400958.92069306574,311340.71149152354,35.0
h012,2008,541666.0443165664,292298.0656825872,35.0
h012,2009,410936.35083763686,291069.6990517937,35.0
h013,2000,457381.2027193593,300166.64788555604,35.0
h013,2001,489222.48439017363,296641.122818954,35.0
h013,2002,372724.40162561333,300184.6664331887,35.0
h013,2003,229605.34561937224,297646.91504738736,35.0
h013,2004,455654.7665650187,290929.5997897947,35.0
h013,2005,368801.51840579475,310701.4698413659,35.0
h013,2006,414176.22714260797,314303.5337567222,35.0
h013,2007,280538.71705430566,316877.78570248035,35.0
h013,2008,380414.778641715,304150.6981365186,35.0
h013,2009,211842.71568899383,314266.1972635066,35.0
h014,2000,275093.2704224479,310316.0512278162,35.0
h014,2001,463527.83106287,298987.1154828536,35.0
h014,2002,320194.21414761833,306705.89547040383,35.0
h014,2003,296088.36772379634,307951.70668782364,35.0
h014,2004,441252.990739384,296879.8996651044,35.0
h014,2005,550646.7535119152,282585.73551780905,35.0
h014,2006,420428.1243063501,300295.28980587446,35.0
h014,2007,352601.7909966897,308323.25390853087,35.0
h014,2008,408853.06104270264,300365.8010823709,35.0
h014,2009,459984.36946995265,299523.1036393842,35.0
h015,2000,383033.1601406816,313428.7694105525,35.0
h015,2001,237552.23533656524,315962.4691243059,35.0
h015,2002,499506.83517756395,299713.4993599554,35.0
h015,2003,382492.0082965049,310603.2830906648,35.0
